depth,threshold,feature,value
11,,,[ 0.  3.  5.  0. 14.  0.  0.  3.  0.  0.]
10,0.47859595715999603,0,
11,,,[0. 0. 7. 0. 1. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 5. 0. 0.]
7,0.4936438202857971,0,
8,-0.478716105222702,3,
9,-0.8609291315078735,2,
10,0.39796552062034607,0,
11,,,[0. 0. 0. 0. 0. 0. 0. 4. 0. 0.]
11,,,[0. 0. 7. 0. 0. 0. 0. 4. 0. 0.]
10,0.43166661262512207,0,
11,,,[0. 0. 0. 0. 0. 0. 0. 6. 0. 0.]
11,,,[0. 0. 2. 0. 0. 0. 0. 2. 0. 0.]
9,-0.957449734210968,2,
10,-0.9622734189033508,2,
11,,,[ 0.  0. 11.  0.  2.  0.  0.  8.  0.  0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 4. 0. 0.]
10,-0.36971084773540497,3,
11,,,[0. 0. 5. 0. 3. 0. 0. 0. 0. 0.]
11,,,[0. 2. 0. 0. 6. 0. 0. 3. 0. 0.]
8,-0.36938223242759705,3,
9,0.4957606792449951,0,
10,0.5903648436069489,1,
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 23.  0.]
10,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
9,-0.9586529433727264,2,
10,0.5067278146743774,0,
11,,,[10.  0.  4.  0.  0.  0.  0.  4.  0.  0.]
11,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
6,-0.5379852652549744,3,
7,0.60414057970047,1,
8,,,[0. 0. 8. 0. 0. 0. 0. 0. 0. 0.]
8,0.026725083589553833,2,
9,-0.7484658658504486,2,
10,0.5289489924907684,0,
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
11,,,[0. 0. 2. 0. 0. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 15.  0.]
7,0.5904916226863861,1,
8,0.5245152115821838,0,
9,,,[  0.   0.   0.   0.   0.   0. 264.   0.   0.   0.]
9,,,[15.  0.  6.  0.  0.  0.  0.  0.  0.  0.]
8,0.5125904083251953,0,
9,,,[ 0.  0.  0.  0.  0.  0. 86.  0.  0.  0.]
9,0.5905651748180389,1,
10,0.5127748847007751,0,
11,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
11,,,[16.  3.  0.  0.  2.  0.  0.  0.  0.  0.]
10,0.592108964920044,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 17.]
11,,,[0. 0. 4. 0. 0. 0. 0. 2. 0. 0.]
3,-0.34556111693382263,3,
4,0.5466556251049042,0,
5,0.7337508201599121,1,
6,0.6699410080909729,1,
7,0.31454232335090637,0,
8,0.2585548758506775,0,
9,0.25199081003665924,0,
10,0.6469522714614868,1,
11,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
11,,,[24.  0.  0.  0.  5.  0.  0.  0.  0.  0.]
10,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
9,0.6499383449554443,1,
10,-0.7459524869918823,3,
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 16.  0.]
10,,,[0. 4. 0. 0. 0. 0. 0. 0. 0. 0.]
8,0.42298728227615356,0,
9,-0.2676556035876274,2,
10,,,[ 0.  0.  0. 95.  0.  0.  0.  0.  0.  0.]
10,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
9,-0.6272728443145752,3,
10,-0.9502550959587097,3,
11,,,[0. 0. 0. 0. 1. 0. 0. 2. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 6. 0. 0.]
10,-0.4558391571044922,3,
11,,,[0. 0. 0. 0. 6. 0. 0. 0. 0. 0.]
11,,,[0. 4. 1. 0. 3. 0. 0. 0. 0. 0.]
7,-0.9870203137397766,3,
8,,,[0. 0. 0. 0. 5. 0. 0. 0. 0. 0.]
8,0.416156142950058,0,
9,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
9,0.720876008272171,1,
10,-0.2760867476463318,2,
11,,,[  0.   0.   0. 566.   2.  15.   0.   0.   0.   0.]
11,,,[ 0.  0.  0. 23.  3.  0.  0.  2.  0.  0.]
10,-0.9230343401432037,3,
11,,,[ 0.  0.  0. 28.  0.  0.  0.  0.  0.  0.]
11,,,[0. 2. 0. 0. 3. 1. 0. 1. 0. 0.]
6,0.478309690952301,0,
7,-0.9158558249473572,3,
8,0.35716240108013153,0,
9,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 14.  0.]
8,0.7535176277160645,1,
9,-0.7788800299167633,3,
10,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
10,-0.6868237555027008,3,
11,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
11,,,[0. 2. 0. 0. 2. 0. 0. 0. 0. 0.]
9,-0.887531042098999,3,
10,-0.9087418913841248,3,
11,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 5. 0. 0.]
7,,,[ 0.  0.  0.  0. 10.  0.  0.  0.  0.  0.]
5,0.616399884223938,0,
6,0.7093815207481384,1,
7,0.6040009558200836,0,
8,0.5988610684871674,0,
9,-0.8390931189060211,3,
10,0.5675767362117767,0,
11,,,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
10,-0.9187412261962891,2,
11,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 9. 0. 0. 0. 0. 0.]
9,,,[0. 8. 0. 0. 0. 0. 0. 0. 0. 0.]
8,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 10.  0.]
7,-0.9201771914958954,3,
8,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
8,0.73346346616745,1,
9,,,[ 0.  0. 10.  0.  0.  0.  0.  0.  0.  0.]
9,-0.8779275715351105,2,
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
10,,,[0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
6,0.7435503900051117,1,
7,-0.6880636513233185,3,
8,,,[0. 0. 0. 0. 0. 0. 0. 5. 0. 0.]
8,,,[16.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
7,-0.626435250043869,3,
8,-0.7800357341766357,3,
9,-0.3945271968841553,2,
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 4. 0. 0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 5. 0. 0.]
8,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
4,0.3613905608654022,0,
5,0.15752432495355606,0,
6,,,[17.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
6,0.32385461032390594,0,
7,-0.25511686503887177,3,
8,,,[0. 0. 0. 0. 0. 7. 0. 0. 0. 0.]
8,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
7,,,[16.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
5,0.7095535397529602,1,
6,-0.9820892214775085,2,
7,0.5247730016708374,0,
8,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
8,,,[0. 0. 0. 0. 0. 5. 0. 0. 0. 0.]
7,-0.9622734189033508,2,
8,-0.2386639267206192,3,
9,-0.25534383952617645,3,
10,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
10,,,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
9,0.6713060736656189,1,
10,,,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
10,0.7052182257175446,1,
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
8,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
6,0.7396844327449799,1,
7,-0.9639483988285065,2,
8,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
8,0.7387878596782684,1,
9,,,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
9,,,[0. 0. 2. 0. 0. 0. 0. 0. 0. 0.]
7,0.7473830282688141,1,
8,,,[0. 0. 0. 0. 0. 8. 0. 0. 0. 0.]
8,-0.9763595461845398,2,
9,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
9,0.772585541009903,1,
10,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
10,,,[0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
2,0.13300977647304535,2,
3,0.6169614493846893,1,
4,-0.7025014460086823,2,
5,0.6742148399353027,0,
6,0.4327595680952072,3,
7,0.4666452705860138,1,
8,0.6372741460800171,0,
9,0.6235496401786804,0,
10,0.18410445749759674,1,
11,,,[ 83. 170. 116.   0.  45. 114. 223.  71.  75. 158.]
11,,,[138. 502. 322. 930. 133. 325. 122. 145.  62. 275.]
10,0.06879987753927708,3,
11,,,[  0.   0.   0. 217.   6.  11.   0.   3.   0.  13.]
11,,,[ 15.  56.  11. 346.  13.  43. 126.   8.   0.  44.]
9,0.22227927297353745,1,
10,0.21764331310987473,1,
11,,,[ 0.  8.  3.  0.  8. 13.  0.  1.  0.  0.]
11,,,[ 0.  0.  0.  0.  0.  0. 76.  0.  0.  0.]
10,0.017212719190865755,3,
11,,,[19. 27. 24.  0. 19.  4.  0. 13.  0. 49.]
11,,,[ 38. 226.  57.   0.  36.  43.   0.  26.  25.  68.]
8,0.6333327293395996,0,
9,-0.9962612688541412,2,
10,0.26076459884643555,0,
11,,,[25.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
11,,,[ 0. 38. 19.  0. 16. 33. 52. 27. 18. 91.]
10,0.4876118153333664,1,
11,,,[138.  53.  24.   0.  25.  60.  80.   8.   0.   0.]
11,,,[ 57. 231.  82.   0.  55. 126.   0.  27.   3. 134.]
9,0.3375104069709778,3,
10,-0.9469526708126068,2,
11,,,[24. 36. 22.  0.  8. 49. 78. 12. 15. 20.]
11,,,[  0.   2.   0.   0.   1.   0. 142.   0.   0.   0.]
10,0.6543792188167572,0,
11,,,[ 0.  1.  0.  0.  2. 32.  0.  0.  0.  0.]
11,,,[ 0. 38.  6.  0.  2. 22.  0.  2.  0.  0.]
7,0.5347772538661957,0,
8,0.5064991116523743,0,
9,0.1951536014676094,0,
10,0.18205954134464264,0,
11,,,[0. 0. 0. 0. 3. 0. 0. 6. 0. 0.]
11,,,[ 0.  0.  0. 37.  0.  0.  0.  0.  0.  0.]
10,0.6744186580181122,3,
11,,,[189. 294. 114.  80.  96. 273.  68.  45.   8.   0.]
11,,,[ 0. 13. 10.  0. 16. 38. 66.  2.  0.  0.]
9,0.5329864323139191,0,
10,0.4614320546388626,1,
11,,,[ 14. 139.  60.   0.  45. 197.   0.  20.   0.  87.]
11,,,[375.  68.  19.   0.  33. 119.   0.  17.   0.  17.]
10,0.5330476760864258,0,
11,,,[ 0.  0.  0.  0.  0.  0. 64.  0.  0.  0.]
11,,,[41.  7. 14.  0.  8. 21.  0.  0.  0.  0.]
8,0.32676632702350616,1,
9,0.5807787477970123,3,
10,0.5782457888126373,0,
11,,,[17. 61. 16.  0.  6. 49.  0.  1.  0.  0.]
11,,,[ 29.  84.  51.   0.  11. 134.   0.   8.  29.  51.]
10,0.6994324326515198,3,
