depth,threshold,feature,is_leaf,value
11,-2.0,-2,True,[ 0.  1. 23.  0.  8.  1.  0. 15. 14.  7.]
8,-0.8038981854915619,2,False,[52.  6. 36. 67. 27.  0.  0. 43. 39.  0.]
9,0.41754138469696045,0,False,[ 0.  2. 12. 67. 10.  0.  0. 11. 15.  0.]
10,0.4042005091905594,0,False,[ 0.  1.  3.  0.  7.  0.  0.  4. 15.  0.]
11,-2.0,-2,True,[0. 1. 3. 0. 5. 0. 0. 2. 0. 0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  2.  0.  0.  2. 15.  0.]
10,0.25319115817546844,1,False,[ 0.  1.  9. 67.  3.  0.  0.  7.  0.  0.]
11,-2.0,-2,True,[0. 0. 5. 0. 1. 0. 0. 4. 0. 0.]
11,-2.0,-2,True,[ 0.  1.  4. 67.  2.  0.  0.  3.  0.  0.]
9,0.008331626653671265,2,False,[52.  4. 24.  0. 17.  0.  0. 32. 24.  0.]
10,-0.6486055552959442,3,False,[52.  3. 24.  0. 14.  0.  0. 29.  0.  0.]
11,-2.0,-2,True,[37.  0.  4.  0.  2.  0.  0. 13.  0.  0.]
11,-2.0,-2,True,[15.  3. 20.  0. 12.  0.  0. 16.  0.  0.]
10,0.4486344903707504,1,False,[ 0.  1.  0.  0.  3.  0.  0.  3. 24.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 3. 0. 0. 3. 0. 0.]
11,-2.0,-2,True,[ 0.  1.  0.  0.  0.  0.  0.  0. 24.  0.]
7,0.47997047007083893,0,False,[82. 12. 47. 63. 17.  6.  0. 13.  0.  0.]
8,0.2506520748138428,0,False,[73. 12. 37.  0. 14.  6.  0.  3.  0.  0.]
9,0.18860603123903275,0,False,[37.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
10,-2.0,-2,True,[25.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
10,-2.0,-2,True,[12.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
9,0.4599224030971527,0,False,[36. 11. 37.  0. 14.  6.  0.  3.  0.  0.]
