depth,threshold,feature,value,branches
7,,,"[0, 0, 0, 28, 0, 29, 0, 31, 44, 0, 0, 41, 83, 0, 0, 0, 335, 62, 98, 86]",
3,0.6107960641384125,0,,"[255, 266]"
4,0.5153008699417114,0,,"[256, 263]"
5,-0.5123524367809296,2,,"[257, 260]"
6,-0.4558391571044922,3,,"[258, 259]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 82, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 426, 3, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.7953500151634216,1,,"[261, 262]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,0.8465976119041443,1,,"[264, 265]"
6,,,"[0, 0, 641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
4,-0.0644988901913166,2,,"[267, 272]"
5,0.6897555887699127,0,,"[268, 269]"
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1143, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.9308959543704987,1,,"[270, 271]"
7,,,"[0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 550, 0, 0, 0, 0, 0, 0, 1, 7, 0]",
5,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]",
1,0.6029467582702637,1,,"[274, 337]"
2,0.8175708055496216,0,,"[275, 306]"
3,0.47452810406684875,1,,"[276, 291]"
4,0.394705668091774,1,,"[277, 284]"
5,0.5177367925643921,0,,"[278, 281]"
6,0.3363814800977707,1,,"[279, 280]"
7,,,"[672, 373, 0, 338, 357, 347, 295, 679, 554, 477, 70, 575, 451, 290, 341, 1326, 241, 568, 787, 305]",
7,,,"[0, 717, 0, 0, 0, 68, 0, 114, 0, 0, 0, 50, 38, 0, 49, 0, 0, 35, 35, 33]",
6,-0.021515898406505585,3,,"[282, 283]"
7,,,"[1128, 396, 0, 399, 528, 371, 0, 1165, 1835, 529, 172, 1395, 147, 1105, 2033, 157, 118, 1146, 1107, 621]",
7,,,"[1284, 0, 0, 1524, 346, 2339, 713, 1395, 345, 1050, 0, 1274, 2488, 536, 1059, 222, 2224, 1601, 1712, 2487]",
5,0.3856491148471832,3,,"[285, 288]"
6,0.3956594318151474,1,,"[286, 287]"
7,,,"[0, 0, 0, 16, 0, 3, 121, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[170, 0, 0, 464, 0, 298, 120, 340, 459, 334, 150, 295, 200, 0, 407, 0, 354, 243, 81, 244]",
6,0.08194411918520927,0,,"[289, 290]"
7,,,"[0, 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",
