depth,threshold,feature,value
9,,,[0. 2. 0. 0. 0. 0. 0. 0. 0. 0.]
7,-0.28947366029024124,2,
8,,,[0. 0. 0. 0. 9. 0. 0. 0. 0. 0.]
8,0.7258208096027374,1,
9,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
6,0.7174538373947144,1,
7,0.6053652763366699,0,
8,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 14.  0.]
8,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
7,-0.8482751250267029,3,
8,-0.9392238259315491,3,
9,0.04731963574886322,2,
10,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
9,0.743551105260849,1,
10,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
8,,,[ 0.  0.  0.  0.  0.  0.  0. 15.  0.  0.]
4,-0.622023731470108,3,
5,-0.7665452361106873,2,
6,0.6486917734146118,1,
7,,,[0. 0. 0. 0. 0. 0. 0. 0. 8. 0.]
7,0.6692532896995544,1,
8,,,[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
8,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
6,-0.7382990121841431,2,
7,,,[26.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
7,0.6807333827018738,1,
8,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
8,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
5,-0.10309787839651108,3,
6,0.5546838939189911,0,
7,0.2950292378664017,0,
8,0.15752432495355606,0,
9,,,[19.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
9,-0.985183596611023,2,
10,,,[0. 0. 0. 0. 0. 3. 0. 0. 0. 0.]
10,0.28728732466697693,0,
11,,,[ 0.  1.  0.  0. 11.  0.  0.  0.  0.  0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
8,0.7210648953914642,1,
9,-0.793542206287384,2,
10,0.6440416574478149,1,
11,,,[ 0.  8.  7. 60.  7.  0.  0.  4.  0.  0.]
11,,,[  0.   5.   0. 416.   6.   5.   0.   0.   0.   0.]
10,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
9,0.7246188521385193,1,
10,-0.16258995980024338,3,
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
11,,,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,0.7254231870174408,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0. 12.  0.  0.]
11,,,[ 0.  6.  6.  0. 13.  0.  0.  4.  0.  0.]
7,0.6163730621337891,0,
8,0.6084688007831573,0,
9,0.7012248933315277,1,
10,-0.18816396594047546,3,
11,,,[0. 0. 5. 0. 9. 0. 0. 1. 0. 0.]
11,,,[0. 6. 4. 0. 0. 0. 0. 0. 0. 0.]
10,0.595631867647171,0,
11,,,[ 0.  1.  0.  0.  0.  0.  0. 14.  0.  0.]
11,,,[0. 0. 6. 0. 0. 3. 0. 4. 0. 0.]
9,-0.3108366131782532,3,
10,-0.5009447932243347,3,
11,,,[0. 0. 0. 0. 5. 0. 0. 0. 0. 0.]
11,,,[0. 0. 2. 0. 2. 2. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 6. 0. 0. 0. 0. 0.]
8,0.6209536790847778,0,
9,,,[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
